cans = dld
ayse = ayse
zeynep = ze
betul = be
aa = aa
do?a = a
betül = sdf
betul = df
doga = fd
ayse = fds
zeynep = dfd
deniz = sfsl
betül = fsd
asead = sadö
s = s
a = a
a = a
c = c
sd = ds
sfsf = dsf
sf = d
s = s
s?? = v
aa = a
l = l
tt = t
tg = df
b = b
mj = m
ol = lj
b = b
c = c
k = k
r = r
m = m
h = h
d = d
a = a
a = a
b = b
c = c
d = d
a = a
b = b
c = c
d = d
a = a
b = b
c = c
d = d
a = a
b = b
c = c
a = a
f = f
t = t
d = d
b = b
k = k
b = b
g = g
b = b
g = g
a = a
g = g
b = b
a = a
b = b
c = c
a = a
a = a
a = a
c = c
hello = a
merhaba = d
a = a
betul = be
ayse = a
bet = bet
camd = c
betl = bet
aslkd = sdf?f
svb = b
sdk = ds
bet = sd
ayse = s
mehmet = s
betul = bef
sa = s
a = a
a = a
zehra = a
zeynr = s
MERT = mer
bert = df
kaan = d
gu = ds
bet = vf
b = b
b = b
be = f
be = sd
ay = s
doga = sadsd
b = b
doga = ds
b = b
s = s
c = c
betul = ad
betul = fsd
bet = ds
a = a
betul = fd
doga = asd
ayse = sfd
gulay = ds
guray = sd
aysesfd = d
ayd = sd
